instance_id,instance_size,algorithm_id,tour_length,runtime
0,7,0,2504.6334169135703,10.13000000239117
0,7,1,2504.633416913571,12.715000000753207
0,7,2,3077.350419532342,0.9900000004563481
0,7,3,2981.647187418954,1.2099999985366594
0,7,4,2578.2593289301835,11.894999999640277
0,7,5,2504.6334169135707,17.189999998663552
0,7,6,2504.6334169135707,19.550000000890577
1,7,0,2515.6089036671347,9.545000000798609
1,7,1,2515.6089036671365,6.525000000692671
1,7,2,2768.854245043557,0.14999999984866008
1,7,3,2619.3852287743794,0.13000000035390258
1,7,4,2692.710783516906,1.3650000000779983
1,7,5,2515.608903667135,5.139999997481937
1,7,6,2515.608903667135,116.14000000190572
2,7,0,2862.7320146423413,0.3099999994446989
2,7,1,2862.7320146423435,2.9699999977310654
2,7,2,3606.3571858259975,0.1249999986612238
2,7,3,3490.131508178177,0.11000000085914508
2,7,4,2904.5998363637796,1.3599999983853195
2,7,5,2862.7320146423417,7.685000000492437
2,7,6,2862.7320146423417,13.565000001108274
3,7,0,2153.4094617261635,0.3299999989394564
3,7,1,2153.4094617261635,0.15499999790336005
3,7,2,2494.1427258304466,0.1250000022992026
3,7,3,2400.998085393284,0.11000000085914508
3,7,4,2153.409461726164,0.6450000000768341
3,7,5,2153.409461726164,6.069999999454012
3,7,6,2153.409461726164,90.79500000007101
4,7,0,2636.5799436601956,0.3099999994446989
4,7,1,2636.5799436601937,0.20500000027823262
4,7,2,2636.579943660196,0.1249999986612238
4,7,3,3566.190835622773,0.11500000255182385
4,7,4,2636.579943660196,0.950000001466833
4,7,5,2636.579943660196,4.724999998870771
4,7,6,2636.579943660196,14.859999999316642
5,7,0,2314.876389568403,0.28499999825726263
5,7,1,2314.876389568401,0.28000000020256266
5,7,2,2354.479984318604,0.11999999696854502
5,7,3,2820.010868396703,0.10000000111176632
5,7,4,2526.2978113460294,0.804999999672873
5,7,5,2314.876389568403,3.1850000013946556
5,7,6,2314.876389568403,136.3950000013574
6,7,0,2719.9838091407673,0.3100000030826777
6,7,1,2719.983809140768,0.2549999990151264
6,7,2,2980.715482160625,0.13499999840860255
6,7,3,2858.6495217350584,0.11000000085914508
6,7,4,2941.0095645079623,0.884999997651903
6,7,5,2719.983809140768,4.4850000012957025
6,7,6,2719.983809140768,46.169999997800915
7,7,0,2847.4465768804803,0.3099999994446989
7,7,1,2847.446576880474,0.21999999808031134
7,7,2,2847.4465768804807,0.1249999986612238
7,7,3,3201.069531250218,0.13000000035390258
7,7,4,2847.4465768804803,0.835000002552988
7,7,5,2847.4465768804803,3.059999999095453
7,7,6,2847.4465768804803,2.6150000012421515
8,7,0,2770.495300177099,0.3099999994446989
8,7,1,2770.4953001770996,0.2300000014656689
8,7,2,3070.714950094736,0.1249999986612238
8,7,3,3330.948593335704,0.1049999991664663
8,7,4,2770.4953001770996,0.4750000007334165
8,7,5,2770.495300177099,3.7650000012945384
8,7,6,2770.495300177099,4.724999998870771
9,7,0,2406.3772537525742,0.3300000025774352
9,7,1,2406.3772537525774,0.26000000070780516
9,7,2,2667.6616218545805,0.13500000204658136
9,7,3,2887.5083490718544,0.13000000035390258
9,7,4,2406.3772537525747,0.9350000000267755
9,7,5,2406.3772537525747,3.9450000003853347
9,7,6,2406.3772537525747,21.02000000013504
10,7,0,1704.1518421656233,0.3099999994446989
10,7,1,1704.1518421656217,0.28000000020256266
10,7,2,1970.90300493335,0.13499999840860255
10,7,3,2057.8721211267557,0.11000000085914508
10,7,4,1864.9685567758393,0.8249999991676304
10,7,5,1704.1518421656235,10.525000001507578
10,7,6,1704.1518421656235,113.66500000076485
11,7,0,2082.6291960717595,0.3149999974993989
11,7,1,2082.62919607176,0.24499999926774763
11,7,2,2120.4586781574762,0.14000000010128133
11,7,3,2497.37750920745,0.12000000060652383
11,7,4,2120.4586781574762,0.8850000012898818
11,7,5,2082.62919607176,3.4999999988940544
11,7,6,2082.62919607176,38.41000000102213
12,7,0,2813.4307365273544,0.6650000032095704
12,7,1,2813.4307365273544,0.4399999997986015
12,7,2,3414.7069978133663,0.14999999984866008
12,7,3,3334.9490507787673,0.13000000035390258
12,7,4,2813.4307365273544,0.950000001466833
12,7,5,2813.4307365273544,4.614999998011626
12,7,6,2813.4307365273544,39.59000000031665
13,7,0,3084.887475573544,0.3099999994446989
13,7,1,3084.8874755735524,0.30500000138999894
13,7,2,3084.887475573544,0.1249999986612238
13,7,3,3245.3214516642406,0.11000000085914508
13,7,4,3084.8874755735446,0.8149999994202517
13,7,5,3084.887475573544,3.5800000005110633
13,7,6,3084.887475573544,55.01499999809312
14,7,0,2566.325378018995,0.30500000138999894
14,7,1,2566.325378018995,0.20500000027823262
14,7,2,2805.9900403063803,0.11000000085914508
14,7,3,2805.9900403063803,0.09499999941908754
14,7,4,2805.9900403063803,0.43000000005122274
14,7,5,2566.325378018995,2.9900000008638017
14,7,6,2566.325378018995,16.944999999395804
15,7,0,2397.9864393734324,0.3149999974993989
15,7,1,2397.9864393734356,0.30500000138999894
15,7,2,2445.3781902355076,0.12000000060652383
15,7,3,2629.0662000924494,0.1049999991664663
15,7,4,2445.3781902355076,0.7100000002537854
15,7,5,2397.986439373433,3.9949999991222285
15,7,6,2397.986439373433,170.1600000014878
16,7,0,1780.7625692547479,0.2949999980046414
16,7,1,1780.762569254747,0.2500000009604264
16,7,2,2098.6629146877735,0.12000000060652383
16,7,3,1789.199278526662,0.09999999747378752
16,7,4,1780.762569254748,0.7100000002537854
16,7,5,1780.762569254748,2.8500000007625204
16,7,6,1780.762569254748,238.8600000012957
17,7,0,3069.4613666460664,0.2950000016426202
17,7,1,3069.4613666460577,0.32500000088475645
17,7,2,3335.4813642890676,0.11499999891384505
17,7,3,3720.2942298021417,0.1049999991664663
17,7,4,3069.4613666460673,0.43000000005122274
17,7,5,3069.461366646067,2.970000001369044
17,7,6,3069.461366646067,3.1849999977566767
18,7,0,2822.991641462424,0.2949999980046414
18,7,1,2822.9916414624217,0.2550000026531052
18,7,2,2941.2015672983516,0.11499999891384505
18,7,3,2862.8848934404828,0.10000000111176632
18,7,4,2969.551691588269,0.7299999997485429
18,7,5,2822.9916414624245,3.1049999997776467
18,7,6,2822.9916414624245,82.03000000139582
19,7,0,1752.5382333306243,0.29999999969732016
19,7,1,1752.5382333306256,0.24499999926774763
19,7,2,1752.5382333306243,0.11999999696854502
19,7,3,1992.142151812468,0.09999999747378752
19,7,4,1838.5671570970626,0.47000000267871656
19,7,5,1752.5382333306247,3.0399999996006954
19,7,6,1752.5382333306247,4.225000000587897
20,7,0,2682.2090301183416,0.30000000333529897
20,7,1,2682.2090301183384,0.19500000053085387
20,7,2,2704.0771956817844,0.12000000060652383
20,7,3,3072.608393196756,0.10000000111176632
20,7,4,2690.967307764719,0.884999997651903
20,7,5,2682.2090301183416,3.6150000014458783
20,7,6,2682.2090301183416,36.81500000311644
21,7,0,2711.0620971032604,0.3099999994446989
21,7,1,2711.0620971032604,0.2099999983329326
21,7,2,3037.4208788427604,0.15999999959603883
21,7,3,3152.9339072947746,0.11499999891384505
21,7,4,2772.671860687043,0.760000002628658
21,7,5,2711.062097103261,9.69999999870197
21,7,6,2711.062097103261,12.084999998478452
22,7,0,3016.0963525437824,0.29999999969732016
22,7,1,3016.096352543784,0.28000000020256266
22,7,2,3306.9662062572174,0.13500000204658136
22,7,3,3016.096352543783,0.1049999991664663
22,7,4,3016.096352543783,0.800000001618173
22,7,5,3016.096352543783,3.1799999997019768
22,7,6,3016.096352543783,204.17000000088592
23,7,0,2255.0959003962666,0.3149999974993989
23,7,1,2255.095900396269,0.26000000070780516
23,7,2,2255.095900396267,0.12000000060652383
23,7,3,2529.546969162014,0.11499999891384505
23,7,4,2255.0959003962666,0.4450000014912803
23,7,5,2255.095900396267,3.3000000003085006
23,7,6,2255.095900396267,8.334999998623971
24,7,0,2222.063544297827,0.3099999994446989
24,7,1,2222.063544297823,0.19500000053085387
24,7,2,2323.3346062780793,0.15499999790336005
24,7,3,2222.0635442978273,0.1049999991664663
24,7,4,2525.98733733251,0.760000002628658
24,7,5,2222.0635442978273,2.8199999978824053
24,7,6,2222.0635442978273,6.414999999833526
25,7,0,3006.7415732142526,0.3149999974993989
25,7,1,3006.7415732142545,0.14000000010128133
25,7,2,3006.741573214253,0.13000000035390258
25,7,3,3699.3560182731117,0.1050000028044451
25,7,4,3006.741573214253,0.44999999954598024
25,7,5,3006.7415732142526,2.785000000585569
25,7,6,3006.741573214253,3.0700000024808105
26,7,0,2713.5744463574133,0.3150000011373777
26,7,1,2713.5744463574097,0.1899999988381751
26,7,2,2713.5744463574138,0.12000000060652383
26,7,3,3206.1217773579738,0.1049999991664663
26,7,4,2713.5744463574138,2.0049999984621536
26,7,5,2713.5744463574138,2.830000001267763
26,7,6,2713.5744463574138,5.905000001803273
27,7,0,2365.1263909993804,0.33999999868683517
27,7,1,2365.1263909993822,0.26499999876250513
27,7,2,2619.747067782492,0.13499999840860255
27,7,3,2401.9697211567295,0.0850000033096876
27,7,4,2365.1263909993804,0.8249999991676304
27,7,5,2365.1263909993804,3.6849999996775296
27,7,6,2365.1263909993804,23.13499999945634
28,7,0,3069.2123551384307,0.3150000011373777
28,7,1,3069.2123551384298,0.2750000021478627
28,7,2,3762.454220860658,0.13000000035390258
28,7,3,3217.03603026381,0.07999999797903001
28,7,4,3492.3286001726538,2.1500000002561137
28,7,5,3069.212355138431,2.980000001116423
28,7,6,3069.212355138431,2.6099999995494727
29,7,0,2484.76761204824,0.32500000088475645
29,7,1,2484.7676120482383,0.21999999808031134
29,7,2,2491.688834631206,0.1449999981559813
29,7,3,3218.1906025065946,0.09000000136438757
29,7,4,2491.688834631206,0.835000002552988
29,7,5,2484.7676120482406,3.625000001193257
29,7,6,2484.7676120482406,6.645000001299195
30,7,0,2291.720291194914,0.30499999775202014
30,7,1,2291.7202911949116,0.2899999999499414
30,7,2,2291.720291194914,0.1449999981559813
30,7,3,2742.6310718767186,0.07999999797903001
30,7,4,2471.460056536442,0.8349999989150092
30,7,5,2291.720291194914,3.5650000027089845
