instance_id,instance_size,algorithm_id,tour_length,runtime
0,5,0,2389.9377533923175,1.3250000010884833
0,5,1,2389.937753392318,1.7450000013923272
0,5,2,2588.525026421379,1.795000000129221
0,5,3,2655.6301263098867,3.2399999981862493
0,5,4,2561.2648077168396,12.039999997796258
0,5,5,2389.9377533923175,4.65500000063912
0,5,6,2389.9377533923175,29.634999998961575
1,5,0,2319.577564682808,0.20500000027823262
1,5,1,2319.577564682808,0.340000002324814
1,5,2,2554.7164531480303,0.11000000085914508
1,5,3,2617.743198010894,0.08499999967170879
1,5,4,2319.577564682808,1.1750000012398232
1,5,5,2319.577564682808,2.489999998942949
1,5,6,2319.577564682808,4.000000000814907
2,5,0,2731.2655042141687,0.18500000078347512
2,5,1,2731.265504214169,0.2949999980046414
2,5,2,2742.448958420599,0.10000000111176632
2,5,3,2742.448958420599,0.07499999992433004
2,5,4,2742.4489584205994,0.5400000009103678
2,5,5,2731.2655042141687,1.7750000006344635
2,5,6,2731.2655042141687,6.2800000014249235
3,5,0,1996.24210860381,0.16999999934341758
3,5,1,1996.2421086038096,0.2949999980046414
3,5,2,2141.366641902241,0.08999999772640876
3,5,3,2127.224136020954,0.07999999797903001
3,5,4,2141.3666419022406,0.4650000009860378
3,5,5,1996.2421086038103,1.7299999999522697
3,5,6,1996.2421086038103,10.29999999809661
4,5,0,1785.9325111422959,0.17999999909079634
4,5,1,1785.9325111422966,0.28499999825726263
4,5,2,1785.9325111422963,0.07999999797903001
4,5,3,1785.9325111422963,0.07999999797903001
4,5,4,1785.9325111422963,0.4750000007334165
4,5,5,1785.9325111422963,1.5999999995983671
4,5,6,1785.9325111422963,3.964999999880092
5,5,0,1737.210909913211,0.17999999909079634
5,5,1,1737.2109099132113,0.2500000009604264
5,5,2,1822.902735847905,0.07999999797903001
5,5,3,1822.9027358479052,0.06999999823165126
5,5,4,1822.9027358479048,0.5950000013399404
5,5,5,1737.2109099132113,3.775000001041917
5,5,6,1737.2109099132113,9.519999999611173
6,5,0,2692.6297782244574,0.18500000078347512
6,5,1,2692.6297782244574,0.28499999825726263
6,5,2,2945.0851906705934,0.14999999984866008
6,5,3,3256.0962786905598,0.08499999967170879
6,5,4,2964.0617255352795,1.909999999043066
6,5,5,2692.6297782244574,1.6250000007858034
6,5,6,2692.6297782244574,6.315000002359739
7,5,0,2818.06383008877,0.17999999909079634
7,5,1,2818.0638300887704,0.2700000004551839
7,5,2,2818.06383008877,0.08499999967170879
7,5,3,3304.738205716276,0.07499999992433004
7,5,4,2818.06383008877,0.5149999997229315
7,5,5,2818.06383008877,1.5749999984109309
7,5,6,2818.06383008877,3.175000001647277
8,5,0,2033.8831799979794,0.24500000290572643
8,5,1,2033.88317999798,0.28000000020256266
8,5,2,2302.2142998237587,0.10000000111176632
8,5,3,2302.2142998237587,0.08499999967170879
8,5,4,2104.3858962872587,0.46999999904073775
8,5,5,2033.8831799979796,1.529999997728737
8,5,6,2033.8831799979796,3.6849999996775296
9,5,0,2158.6848056870876,0.17999999909079634
9,5,1,2158.6848056870886,0.2750000021478627
9,5,2,2322.7864010432295,0.12000000060652383
9,5,3,2484.630612874149,0.08000000161700882
9,5,4,2322.7864010432295,0.9900000004563481
9,5,5,2158.684805687088,2.024999997956911
9,5,6,2158.684805687088,6.365000001096632
10,5,0,2067.216061199655,0.17500000103609636
10,5,1,2067.2160611996555,0.5599999967671465
10,5,2,2067.216061199655,0.09500000305706635
10,5,3,2067.2160611996555,0.08499999967170879
10,5,4,2136.3446214473724,3.049999999348074
10,5,5,2067.216061199655,1.5799999964656308
10,5,6,2067.216061199655,5.470000000059372
11,5,0,2184.287920686274,0.17500000103609636
11,5,1,2184.2879206862744,0.2899999999499414
11,5,2,2219.253828798147,0.08499999967170879
11,5,3,2184.287920686274,0.09000000136438757
11,5,4,2276.6920027612623,0.9649999992689118
11,5,5,2184.2879206862744,2.25499999942258
11,5,6,2184.2879206862744,8.270000002084998
