instance_id,instance_size,min_span_tree_weight,algorithm_id,tour_length,runtime
0,4,1385.8971233756263,6,2192.42594879295,5.2650002762675285
0,4,1385.8971233756263,4,2253.994468147513,4.124999977648258
44,4,1656.1420886097212,6,2747.586086256875,3.2850001007318497
1,4,863.0420060032819,6,1665.2315097989872,2.845000009983778
17,4,893.5803713408268,5,1535.6546192223236,2.690000459551811
2,4,1159.5141732761306,6,1649.8575567642151,2.4250000715255737
15,4,1343.47519691314,6,2138.3550305339004,1.8099998123943806
16,4,1020.5922069943497,6,1746.336652374402,1.7899996601045132
12,4,1104.7124470424353,5,1974.2238040700477,1.769999973475933
0,4,1385.8971233756263,5,2192.42594879295,1.6049998812377453
13,4,756.8260008989116,6,1349.2726229670943,1.5400000847876072
4,4,1497.740759338535,6,2472.0063555054576,1.1800001375377178
6,4,883.728580371754,6,1672.008353041331,1.1499999091029167
14,4,1098.1658939896106,6,1776.1430322472365,1.1499999091029167
9,4,817.7447279644409,6,1408.1005528700653,1.0899999178946018
14,4,1098.1658939896106,5,1776.1430322472365,1.0899999178946018
7,4,691.4546970274489,5,1310.264037616293,1.0599996894598007
4,4,1497.740759338535,5,2472.0063555054576,1.0400000028312206
19,4,815.9255582260643,5,1333.5693453152967,1.0199998505413532
6,4,883.728580371754,5,1672.008353041331,0.9800000116229057
3,4,1325.5372386327385,6,2090.4856029031644,0.9550000540912151
21,4,843.8313642468135,6,1360.0270635702386,0.9449999779462814
1,4,863.0420060032819,5,1665.2315097989872,0.9099999442696571
15,4,1343.47519691314,4,2251.993300729421,0.890000257641077
7,4,691.4546970274489,6,1310.264037616293,0.8849999867379665
10,4,1282.2975040372319,6,1903.9163583201437,0.8849999867379665
8,4,1254.2312922281837,6,2209.7060433336223,0.8800001814961433
16,4,1020.5922069943497,5,1746.336652374402,0.8550002239644527
15,4,1343.47519691314,5,2138.3550305339004,0.8400003425776958
9,4,817.7447279644409,4,1408.1005528700653,0.8350000716745853
5,4,1105.9971796709165,6,1781.5362236942801,0.7949997670948505
8,4,1254.2312922281837,5,2209.7060433336223,0.7850001566112041
11,4,911.3279471673669,6,1640.0432550894661,0.7349997758865356
2,4,1159.5141732761306,5,1649.8575567642151,0.7300004363059998
12,4,1104.7124470424353,6,1974.2238040700477,0.7299999706447124
19,4,815.9255582260643,6,1333.5693453152967,0.7249996997416019
10,4,1282.2975040372319,5,1903.9163583201437,0.7050000131130219
12,4,1104.7124470424353,4,1974.2238040700477,0.6949999369680882
3,4,1325.5372386327385,4,2090.4856029031644,0.690000131726265
22,4,1268.295009120011,6,1927.069816397625,0.6850003264844418
18,4,658.1201157447358,5,1210.369164763274,0.6650001741945744
26,4,1622.0620302734521,6,2521.556332645624,0.645000021904707
39,4,736.3369652757415,5,1364.2899889964654,0.6300001405179501
17,4,893.5803713408268,6,1535.6546192223236,0.6299996748566628
40,4,1112.3930370105836,4,1789.2355656021093,0.6299996748566628
3,4,1325.5372386327385,5,2090.4856029031644,0.6099999882280827
5,4,1105.9971796709165,5,1781.5362236942801,0.5950001068413258
20,4,1297.7656772475164,6,2201.1332657739144,0.5950001068413258
41,4,1079.6735708851247,6,2108.4714130290513,0.5699996836483479
24,4,712.2880572443871,6,1378.3760697447992,0.5649998784065247
9,4,817.7447279644409,5,1408.1005528700653,0.554999802261591
47,4,1301.971669778022,5,2207.0995428371743,0.5400003865361214
43,4,1207.7320252345105,5,1926.8996732639712,0.5399999208748341
11,4,911.3279471673669,5,1640.0432550894661,0.5350001156330109
38,4,990.9151674323698,6,1619.0186620891022,0.5299998447299004
13,4,756.8260008989116,5,1349.2726229670943,0.520000234246254
